trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.00299815767, 'e': 0.6915821097586874}",35,0,-88.58938877307968,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
124,False,"{'a': 0.00299815767, 'e': 0.6895117427461174}",30,12,-35.4763323927379,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.00299815767, 'e': 0.687447573724366}",25,0,-147.35946108037413,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
126,False,"{'a': 0.00299815767, 'e': 0.6853895841387088}",30,0,-5.068321732880912,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.00299815767, 'e': 0.6833377554899673}",25,0,-72.48686750469959,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
128,False,"{'a': 0.00299815767, 'e': 0.6812920693343439}",20,0,-58.64957583898306,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
129,False,"{'a': 0.00299815767, 'e': 0.6792525072832556}",30,0,-46.71452672055208,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
130,False,"{'a': 0.00299815767, 'e': 0.6772190510031684}",20,0,-60.83688129159946,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
131,False,"{'a': 0.00299815767, 'e': 0.6751916822154329}",20,0,-42.13020368568154,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
132,False,"{'a': 0.00299815767, 'e': 0.6731703826961202}",25,13,-36.0033400983909,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.00299815767, 'e': 0.6711551342758573}",20,8,-39.09439711745566,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.00299815767, 'e': 0.6691459188396647}",20,0,-87.16324131023487,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
135,False,"{'a': 0.00299815767, 'e': 0.667142718326793}",20,0,-36.324810821688715,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
136,False,"{'a': 0.00299815767, 'e': 0.6651455147305604}",25,0,-64.08020768312862,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
137,False,"{'a': 0.00299815767, 'e': 0.6631542900981915}",30,0,-113.91991331385515,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
138,False,"{'a': 0.00299815767, 'e': 0.6611690265306555}",20,0,-72.83162811842475,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.00299815767, 'e': 0.659189706182505}",20,0,-8.711955697603821,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.00299815767, 'e': 0.6572163112617165}",30,0,-82.71315733817862,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
141,False,"{'a': 0.00299815767, 'e': 0.6552488240295293}",30,9,-39.43753087433373,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 0}",1
142,False,"{'a': 0.00299815767, 'e': 0.6532872268002872}",25,0,-78.3551576283885,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
143,False,"{'a': 0.00299815767, 'e': 0.6513315019412785}",25,0,-54.54489816928051,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.00299815767, 'e': 0.6493816318725785}",20,0,-78.81075107013477,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
145,False,"{'a': 0.00299815767, 'e': 0.6474375990668902}",20,0,-65.10983622418927,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
146,False,"{'a': 0.00299815767, 'e': 0.6454993860493884}",20,5,-78.68978863762854,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
147,False,"{'a': 0.00299815767, 'e': 0.643566975397561}",25,12,-152.5295059325635,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 3}",1
148,False,"{'a': 0.00299815767, 'e': 0.6416403497410537}",25,0,-32.95641820982101,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
149,False,"{'a': 0.00299815767, 'e': 0.6397194917615125}",20,13,-21.05572533159232,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.00299815767, 'e': 0.6378043841924298}",25,0,-86.59713415871944,"{0: 19, 1: 2, 2: 0, 3: 3, 4: 1}",0
151,False,"{'a': 0.00299815767, 'e': 0.6358950098189872}",20,8,-66.2480045463404,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
152,False,"{'a': 0.00299815767, 'e': 0.6339913514779023}",30,0,-53.28694020181169,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
153,False,"{'a': 0.00299815767, 'e': 0.6320933920572739}",30,0,-68.17042850745479,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
154,False,"{'a': 0.00299815767, 'e': 0.6302011144964279}",20,0,-19.6588325505834,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
155,False,"{'a': 0.00299815767, 'e': 0.6283145017857642}",25,0,-63.71705037872513,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
156,False,"{'a': 0.00299815767, 'e': 0.6264335369666041}",20,0,-22.62814635666519,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
157,False,"{'a': 0.00299815767, 'e': 0.624558203131037}",20,0,-52.20847603715384,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
158,False,"{'a': 0.00299815767, 'e': 0.6226884834217696}",20,3,-36.08517120646577,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.00299815767, 'e': 0.6208243610319734}",35,0,-136.3132309124311,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
160,False,"{'a': 0.00299815767, 'e': 0.6189658192051337}",20,9,0.7672038275167274,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.00299815767, 'e': 0.6171128412348998}",30,0,-45.569497374622536,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.00299815767, 'e': 0.6152654104649339}",25,6,-92.28748530439648,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
163,False,"{'a': 0.00299815767, 'e': 0.6134235102887617}",25,0,-66.20573337681893,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
164,False,"{'a': 0.00299815767, 'e': 0.6115871241496236}",25,0,-120.37226021827104,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
165,False,"{'a': 0.00299815767, 'e': 0.6097562355403248}",20,5,-69.78117838933015,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
166,False,"{'a': 0.00299815767, 'e': 0.6079308280030881}",20,0,-81.19516594003763,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
167,False,"{'a': 0.00299815767, 'e': 0.6061108851294049}",25,5,-96.76228825009227,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
168,False,"{'a': 0.00299815767, 'e': 0.6042963905598889}",20,0,-26.35849746697798,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
169,False,"{'a': 0.00299815767, 'e': 0.6024873279841277}",20,0,-97.57592640269364,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
170,False,"{'a': 0.00299815767, 'e': 0.6006836811405374}",20,0,-15.101722402876756,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.00299815767, 'e': 0.5988854338162154}",20,0,-160.35528172963467,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
172,False,"{'a': 0.00299815767, 'e': 0.5970925698467954}",20,0,-50.022515421312114,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
173,False,"{'a': 0.00299815767, 'e': 0.5953050731163018}",25,0,-15.15842795882562,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
174,False,"{'a': 0.00299815767, 'e': 0.5935229275570049}",20,0,-6.624362001498157,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.00299815767, 'e': 0.5917461171492764}",20,0,-76.83137215009492,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
